company_name,ticker,exchange,sector,industry,status,ipo_date,issue_price,price_band_low,price_band_high,listing_price,current_price,offer_size,market_cap_at_ipo,current_market_cap,gmp,subscription,ai_score,ai_rating,ai_confidence,source,country
S J Logistics India Ltd,SJLOGISTIC,NSE,Industrials,Logistics,listed,2024-01-01,,,,,,,,,,,61.6,Average IPO,Medium,expansion_db,IN
Grover Jewells,,BSE,,,listed,2026-02-11,,88.0,88.0,,119.4,,,128.0,,,61.5,Average IPO,Medium,ipo_data.json,
Bhavik Enterpris,,BSE,,,listed,2025-10-06,,140.0,140.0,,163.0,,,285.0,,,61.5,Average IPO,Medium,ipo_data.json,
Shreeji Ship. Gl,,BSE,,,listed,2025-08-26,,252.0,252.0,,472.95,,,4106.0,,,61.5,Average IPO,Medium,ipo_data.json,
Cedaar Textile,,BSE,,,listed,2025-07-07,,140.0,140.0,,24.05,,,194.0,,,61.5,Average IPO,Medium,ipo_data.json,
Atmastco Ltd,,BSE,,,listed,2024-02-23,,77.0,77.0,,172.05,,,190.0,,,61.5,Average IPO,Medium,ipo_data.json,
Cello World,,BSE,,,listed,2023-11-06,,648.0,648.0,,382.1,,,14313.0,,,61.5,Average IPO,Medium,ipo_data.json,
Acko,ACKO,NSE,,,upcoming,–,,,,,,,,,,,61.5,Average IPO,Medium,ipos.json,India
Laurus Labs Ltd,LAURUSLABS,NSE,Healthcare,Pharmaceuticals,listed,2016-01-01,,,,,,,,,,,61.5,Average IPO,Medium,expansion_db,IN
Mahindra Lifespace Developers,MAHLIFE,NSE,Real Estate,Real Estate Development,listed,2007-01-01,,,,,,,,,,,61.5,Average IPO,Medium,expansion_db,IN
Royal Plus Ltd,ROYALPLUS,NSE,Consumer Defensive,Food,listed,2024-01-01,,,,,,,,,,,61.5,Average IPO,Medium,expansion_db,IN
South West Pinnacle,SOUTHWEST,NSE,Basic Materials,Mining,listed,2024-01-01,,,,,,,,,,,61.5,Average IPO,Medium,expansion_db,IN
Tac Security Solutions Ltd,TACSEC,NSE,Technology,Cybersecurity,listed,2024-01-01,,,,,,,,,,,61.5,Average IPO,Medium,expansion_db,IN
Tamilnad Agricult Chem,TAC,NSE,Basic Materials,Fertilizers,listed,2024-01-01,,,,,,,,,,,61.5,Average IPO,Medium,expansion_db,IN
ERIS Lifesciences Ltd,ERIS,NSE,Healthcare,Pharmaceuticals,listed,2017-01-01,,,,,,,,,,,61.5,Average IPO,Medium,expansion_db,IN
Neptune Pet.,,BSE,,,listed,2025-06-04,,122.0,122.0,,188.1,,,276.0,,,61.4,Average IPO,Medium,ipo_data.json,
Travels &amp; Rent.,,BSE,,,listed,2024-09-05,,21.0,21.0,,15.12,,,45.0,,,61.4,Average IPO,Medium,ipo_data.json,
Dindigul Farm,,BSE,,,listed,2024-06-27,,54.0,54.0,,19.11,,,132.0,,,61.4,Average IPO,Medium,ipo_data.json,
Teerth Gopicon,,BSE,,,listed,2024-04-16,,111.0,111.0,,23.1,,,133.0,,,61.4,Average IPO,Medium,ipo_data.json,
Nova Agritech,,BSE,,,listed,2024-01-31,,41.0,41.0,,26.91,,,379.0,,,61.4,Average IPO,Medium,ipo_data.json,
Tata Technolog.,,BSE,,,listed,2023-11-30,,500.0,500.0,,771.2,,,20283.0,,,61.4,Average IPO,Medium,ipo_data.json,
NSE,NSE,NSE,,,upcoming,2026-08-12,,2,500,,,"₹20,000 Cr",,,,,61.4,Average IPO,Medium,ipos.json,India
Adani Power Ltd,ADANIPOWER,NSE,Utilities,Electric Utilities,listed,2009-01-01,,,,,,,,,,,61.4,Average IPO,Medium,expansion_db,IN
On Door Concepts,,BSE,,,listed,2023-11-01,,208.0,208.0,,162.45,,,117.0,,,61.3,Average IPO,Medium,ipo_data.json,
Rivian Automotive Inc.,RIVN,NASDAQ,Consumer Cyclical,Auto Manufacturers,listed,2021-01-01,,,,,,,,,,,61.3,Average IPO,Medium,expansion_db,US
Hindustan Unilever Ltd,HINDUNILVR,NSE,Consumer Defensive,Household Products,listed,1956-01-01,,,,,,,,,,,61.3,Average IPO,Medium,expansion_db,IN
QuantumScape Corp,QS,NYSE,Consumer Cyclical,Auto Parts,listed,2020-01-01,,,,,,,,,,,61.3,Average IPO,Medium,expansion_db,US
Ivalue Infosolut,,BSE,,,listed,2025-09-25,,293.0,293.0,,237.34,,,1601.0,,,61.2,Average IPO,Medium,ipo_data.json,
Baazar Style,,BSE,,,listed,2024-09-06,,389.0,389.0,,337.8,,,2903.0,,,61.2,Average IPO,Medium,ipo_data.json,
Sangani Hospital,,BSE,,,listed,2023-08-17,,40.0,40.0,,45.0,,,55.0,,,61.2,Average IPO,Medium,ipo_data.json,
Lemon Tree Hotels Ltd,LEMONTREE,NSE,Consumer Cyclical,Hotels,listed,2018-01-01,,,,,,,,,,,61.2,Average IPO,Medium,expansion_db,IN
Epigral Ltd,EPIGRAL,NSE,Basic Materials,Chemicals,listed,2007-01-01,,,,,,,,,,,61.2,Average IPO,Medium,expansion_db,IN
Pidilite Industries Ltd,PIDILITIND,NSE,Basic Materials,Chemicals,listed,1993-01-01,,,,,,,,,,,61.1,Average IPO,Medium,expansion_db,IN
Jumia Technologies AG,JMIA,NYSE,Consumer Cyclical,E-Commerce,listed,2019-01-01,,,,,,,,,,,61.1,Average IPO,Medium,expansion_db,DE
Alembic Pharmaceuticals Ltd,APLLTD,NSE,Healthcare,Pharmaceuticals,listed,2003-01-01,,,,,,,,,,,61.1,Average IPO,Medium,expansion_db,IN
Rategain Travel Technologies,RATEGAIN,NSE,Technology,Travel Technology,listed,2021-01-01,,,,,,,,,,,61.1,Average IPO,Medium,expansion_db,IN
Amwill Health,,BSE,,,listed,2025-02-12,,111.0,111.0,,41.4,,,222.0,,,61.0,Average IPO,Medium,ipo_data.json,
Mamata Machinery,,BSE,,,listed,2024-12-27,,243.0,243.0,,370.15,,,598.0,,,61.0,Average IPO,Medium,ipo_data.json,
TBO Tek,,BSE,,,listed,2024-05-15,,920.0,920.0,,1225.2,,,9990.0,,,61.0,Average IPO,Medium,ipo_data.json,
Mrs. Bectors Food Specialities,BECTORFOOD,NSE,Consumer Defensive,Food,listed,2020-01-01,,,,,,,,,,,61.0,Average IPO,Medium,expansion_db,IN
Solara Active Pharma Sci.,SOLARA,NSE,Healthcare,Pharmaceuticals,listed,2018-01-01,,,,,,,,,,,61.0,Average IPO,Medium,expansion_db,IN
Jalpa Shah Securities Ltd,JALPA,NSE,Financial,Financial Services,listed,2024-01-01,,,,,,,,,,,61.0,Average IPO,Medium,expansion_db,IN
Canara Robeco,,BSE,,,listed,2025-10-16,,266.0,266.0,,249.67,,,5304.0,,,60.9,Average IPO,Medium,ipo_data.json,
Prime Cable Ind.,,BSE,,,listed,2025-09-29,,83.0,83.0,,115.0,,,152.0,,,60.9,Average IPO,Medium,ipo_data.json,
M &amp; B Engineer.,,BSE,,,listed,2025-08-06,,385.0,385.0,,280.55,,,2200.0,,,60.9,Average IPO,Medium,ipo_data.json,
Unilever PLC,UL,NYSE,Consumer Defensive,Household Products,listed,,,,,,,,,,,,60.9,Average IPO,Medium,ipo_data.json,
JSW Steel Ltd,JSWSTEEL,NSE,Basic Materials,Steel,listed,1994-01-01,,,,,,,,,,,60.9,Average IPO,Medium,expansion_db,IN
IIFL Finance Ltd,IIFL,NSE,Financial,Financial Services,listed,2007-01-01,,,,,,,,,,,60.9,Average IPO,Medium,expansion_db,IN
Bright Outdoor Media Ltd,BRIGHT,NSE,Communication,Media,listed,2024-01-01,,,,,,,,,,,60.9,Average IPO,Medium,expansion_db,IN
Reetech International Cargo,REETECH,NSE,Industrials,Logistics,listed,2024-01-01,,,,,,,,,,,60.9,Average IPO,Medium,expansion_db,IN
Solex Energy Ltd,SOLEX,NSE,Utilities,Renewable Energy,listed,2024-01-01,,,,,,,,,,,60.9,Average IPO,Medium,expansion_db,IN
Superior Industries Ltd,SUPERIOR,NSE,Consumer Cyclical,Auto Parts,listed,2024-01-01,,,,,,,,,,,60.9,Average IPO,Medium,expansion_db,IN
Fine Organic Industries Ltd,FINEORG,NSE,Basic Materials,Chemicals,listed,2018-01-01,,,,,,,,,,,60.9,Average IPO,Medium,expansion_db,IN
Yashhtej Industries,,BSE,,,listed,2026-02-25,,110.0,110.0,,55.45,,,254.0,,,60.8,Average IPO,Medium,ipo_data.json,
Sundrex Oil,,BSE,,,listed,2025-12-30,,86.0,86.0,,30.45,,,115.0,,,60.8,Average IPO,Medium,ipo_data.json,
Rikhav Securitie,,BSE,,,listed,2025-01-22,,86.0,86.0,,46.75,,,329.0,,,60.8,Average IPO,Medium,ipo_data.json,
Neelam Linens,,BSE,,,listed,2024-11-18,,24.0,24.0,,11.8,,,49.0,,,60.8,Average IPO,Medium,ipo_data.json,
GMR Airports Infrastructure,GMRINFRA,NSE,Industrials,Infrastructure,listed,2006-01-01,,,,,,,,,,,60.8,Average IPO,Medium,expansion_db,IN
Elgi Equipments Ltd,ELGIEQUIP,NSE,Industrials,Industrial Equipment,listed,2003-01-01,,,,,,,,,,,60.8,Average IPO,Medium,expansion_db,IN
Singapore Airlines Ltd,C6L,SGX,Industrials,Airlines,listed,1999-01-01,,,,,,,,,,,60.8,Average IPO,Medium,expansion_db,SG
Remitly Global Inc.,RELY,NASDAQ,Technology,Fintech,listed,2021-01-01,,,,,,,,,,,60.8,Average IPO,Medium,expansion_db,US
Elgi Rubber Co Ltd,ELGIRUBCO,NSE,Consumer Cyclical,Auto Parts,listed,2007-01-01,,,,,,,,,,,60.8,Average IPO,Medium,expansion_db,IN
Indian Emuls,,BSE,,,listed,2024-05-22,,88.0,88.0,,48.35,,,161.0,,,60.7,Average IPO,Medium,ipo_data.json,
Epack Durable,,BSE,,,listed,2024-01-30,,229.0,229.0,,225.3,,,2207.0,,,60.7,Average IPO,Medium,ipo_data.json,
United Spirits Ltd,MCDOWELL-N,NSE,Consumer Defensive,Beverages,listed,1997-01-01,,,,,,,,,,,60.7,Average IPO,Medium,expansion_db,IN
Rubicon Research,,BSE,,,listed,2025-10-16,,485.0,485.0,,1202.5,,,7990.0,,,60.6,Average IPO,Medium,ipo_data.json,
Chamunda Ele.,,BSE,,,listed,2025-02-11,,50.0,50.0,,40.05,,,55.0,,,60.6,Average IPO,Medium,ipo_data.json,
Ventive Hospital,,BSE,,,listed,2024-12-30,,643.0,643.0,,640.95,,,15017.0,,,60.6,Average IPO,Medium,ipo_data.json,
Manba Finance,,BSE,,,listed,2024-09-30,,120.0,120.0,,118.48,,,603.0,,,60.6,Average IPO,Medium,ipo_data.json,
SRM Contractors,,BSE,,,listed,2024-04-03,,210.0,210.0,,510.7,,,482.0,,,60.6,Average IPO,Medium,ipo_data.json,
Exicom Tele-Sys.,,BSE,,,listed,2024-03-05,,123.0,123.0,,133.85,,,1716.0,,,60.6,Average IPO,Medium,ipo_data.json,
Kalahridhaan Tre,,BSE,,,listed,2024-02-23,,45.0,45.0,,4.85,,,77.0,,,60.6,Average IPO,Medium,ipo_data.json,
New Swan,,BSE,,,listed,2024-01-18,,66.0,66.0,,42.0,,,126.0,,,60.6,Average IPO,Medium,ipo_data.json,
Tech Mahindra Ltd,TECHM,NSE,Technology,Software,listed,2006-01-01,,,,,,,,,,,60.6,Average IPO,Medium,expansion_db,IN
Kashi Visa Residency Ltd,KASHIVISA,NSE,Financial,Financial Services,listed,2024-01-01,,,,,,,,,,,60.6,Average IPO,Medium,expansion_db,IN
Siddhi Cotspin,,BSE,,,listed,2025-09-26,,108.0,108.0,,28.0,,,264.0,,,60.5,Average IPO,Medium,ipo_data.json,
Silkflex Polymer,,BSE,,,listed,2024-05-15,,52.0,52.0,,182.75,,,60.0,,,60.5,Average IPO,Medium,ipo_data.json,
Concord Biotech,,BSE,,,listed,2023-08-18,,741.0,741.0,,1209.9,,,7752.0,,,60.5,Average IPO,Medium,ipo_data.json,
IDBI Bank Ltd,IDBI,NSE,Financial,Banks,listed,1995-01-01,,,,,,,,,,,60.5,Average IPO,Medium,expansion_db,IN
Easy Trip Planners Ltd,EASEMYTRIP,NSE,Technology,Travel Technology,listed,2021-01-01,,,,,,,,,,,60.5,Average IPO,Medium,expansion_db,IN
Australian Prem,,BSE,,,listed,2024-01-18,,53.0,53.0,,318.1,,,107.0,,,60.4,Average IPO,Medium,ipo_data.json,
BP p.l.c.,BP,NYSE,Energy,Oil & Gas,listed,,,,,,,,,,,,60.4,Average IPO,Medium,ipo_data.json,
GlaxoSmithKline plc,GSK,NYSE,Healthcare,Drug Manufacturers,listed,,,,,,,,,,,,60.4,Average IPO,Medium,ipo_data.json,
Brookfield Asset Mgmt,BAM,NYSE,Financial,Asset Management,listed,,,,,,,,,,,,60.4,Average IPO,Medium,ipo_data.json,
Biocon Ltd,BIOCON,NSE,Healthcare,Biotechnology,listed,1998-01-01,,,,,,,,,,,60.4,Average IPO,Medium,expansion_db,IN
Page Industries Ltd,PAGEIND,NSE,Consumer Cyclical,Apparel,listed,2007-01-01,,,,,,,,,,,60.4,Average IPO,Medium,expansion_db,IN
Ramco Cements Ltd,RAMCOCEM,NSE,Basic Materials,Cement,listed,2003-01-01,,,,,,,,,,,60.4,Average IPO,Medium,expansion_db,IN
Birkenstock Holding PLC,BIRK,NYSE,Consumer Cyclical,Footwear,listed,2023-01-01,,,,,,,,,,,60.4,Average IPO,Medium,expansion_db,DE
M P K Steels,,BSE,,,listed,2025-10-06,,79.0,79.0,,121.55,,,80.0,,,60.3,Average IPO,Medium,ipo_data.json,
Scoda Tubes,,BSE,,,listed,2025-06-04,,140.0,140.0,,125.82,,,839.0,,,60.3,Average IPO,Medium,ipo_data.json,
United Heat,,BSE,,,listed,2024-10-29,,59.0,59.0,,82.15,,,112.0,,,60.3,Average IPO,Medium,ipo_data.json,
Mason Infratech,,BSE,,,listed,2024-07-01,,47.0,47.0,,114.5,,,112.0,,,60.3,Average IPO,Medium,ipo_data.json,
Owais Metal,,BSE,,,listed,2024-03-04,,87.0,87.0,,101.75,,,158.0,,,60.3,Average IPO,Medium,ipo_data.json,
Aatmaj Health,,BSE,,,listed,2023-06-30,,60.0,60.0,,19.0,,,136.0,,,60.3,Average IPO,Medium,ipo_data.json,
Sonata Software Ltd,SONATSOFTW,NSE,Technology,Software,listed,1999-01-01,,,,,,,,,,,60.3,Average IPO,Medium,expansion_db,IN
Lucid Group Inc.,LCID,NASDAQ,Consumer Cyclical,Auto Manufacturers,listed,2021-01-01,,,,,,,,,,,60.3,Average IPO,Medium,expansion_db,US
Containe Tech Ltd,CONTAINER,NSE,Industrials,Logistics,listed,2024-01-01,,,,,,,,,,,60.3,Average IPO,Medium,expansion_db,IN
RBM Infracon Ltd,RBMINFRA,NSE,Real Estate,Real Estate Development,listed,2024-01-01,,,,,,,,,,,60.3,Average IPO,Medium,expansion_db,IN
Viviana Power Tech Ltd,VIVIANAPR,NSE,Utilities,Electric Utilities,listed,2024-01-01,,,,,,,,,,,60.3,Average IPO,Medium,expansion_db,IN
Neetu Yoshi,,BSE,,,listed,2025-07-04,,75.0,75.0,,148.3,,,291.0,,,60.2,Average IPO,Medium,ipo_data.json,
3B Films,,BSE,,,listed,2025-06-06,,50.0,50.0,,21.42,,,124.0,,,60.2,Average IPO,Medium,ipo_data.json,
Grand Continent,,BSE,,,listed,2025-03-27,,113.0,113.0,,127.55,,,282.0,,,60.2,Average IPO,Medium,ipo_data.json,
Super Iron,,BSE,,,listed,2025-03-19,,108.0,108.0,,45.56,,,253.0,,,60.2,Average IPO,Medium,ipo_data.json,
Purple United,,BSE,,,listed,2024-12-18,,126.0,126.0,,395.85,,,121.0,,,60.2,Average IPO,Medium,ipo_data.json,
Piotex Indus.,,BSE,,,listed,2024-05-17,,94.0,94.0,,35.5,,,48.0,,,60.2,Average IPO,Medium,ipo_data.json,
Nestlé S.A.,NSRGY,OTC,Consumer Defensive,Food,listed,,,,,,,,,,,,60.2,Average IPO,Medium,ipo_data.json,
Toyota Motor Corporation,TM,NYSE,Consumer Cyclical,Auto Manufacturers,listed,,,,,,,,,,,,60.2,Average IPO,Medium,ipo_data.json,
Paradeep Phosphates Ltd,PARADEEP,NSE,Basic Materials,Fertilizers,listed,2022-01-01,,,,,,,,,,,60.2,Average IPO,Medium,expansion_db,IN
Marico Ltd,MARICO,NSE,Consumer Defensive,Personal Care,listed,1996-01-01,,,,,,,,,,,60.2,Average IPO,Medium,expansion_db,IN
HDFC AMC Ltd,HDFCAMC,NSE,Financial,Asset Management,listed,2018-01-01,,,,,,,,,,,60.2,Average IPO,Medium,expansion_db,IN
Jubilant FoodWorks Ltd,JUBLFOOD,NSE,Consumer Cyclical,Restaurants,listed,2010-01-01,,,,,,,,,,,60.2,Average IPO,Medium,expansion_db,IN
IIFL Wealth Management,IIFLWAM,NSE,Financial,Wealth Management,listed,2021-01-01,,,,,,,,,,,60.2,Average IPO,Medium,expansion_db,IN
Wipro Ltd,WIPRO,NSE,Technology,Software,listed,1945-01-01,,,,,,,,,,,60.1,Average IPO,Medium,expansion_db,IN
Swasti Vinayaka Art & Her,SWASTIVI,NSE,Consumer Cyclical,Retail,listed,2024-01-01,,,,,,,,,,,60.1,Average IPO,Medium,expansion_db,IN
Vertex Pharmaceuticals Inc.,VRTX,NASDAQ,Healthcare,Biotechnology,listed,1991-01-01,,,,,,,,,,,60.1,Average IPO,Medium,expansion_db,US
Manilam Industries,,BSE,,,listed,2026-02-27,,69.0,69.0,,61.0,,,151.0,,,60.0,Average IPO,Medium,ipo_data.json,
Jinkushal Indus.,,BSE,,,listed,2025-10-03,,121.0,121.0,,99.2,,,464.0,,,60.0,Average IPO,Medium,ipo_data.json,
DCG Cables,,BSE,,,listed,2024-04-16,,100.0,100.0,,58.95,,,182.0,,,60.0,Average IPO,Medium,ipo_data.json,
Vilin Bio Med,,BSE,,,listed,2023-06-30,,27.0,27.0,,48.65,,,42.0,,,60.0,Average IPO,Medium,ipo_data.json,
La Opala RG Ltd,LAOPALA,NSE,Consumer Cyclical,Household Products,listed,2007-01-01,,,,,,,,,,,60.0,Average IPO,Medium,expansion_db,IN
JD Healthcare & Life Sci,JDHEALTH,NSE,Healthcare,Healthcare Services,listed,2024-01-01,,,,,,,,,,,60.0,Average IPO,Medium,expansion_db,IN
Landmark Cars Ltd,LANDMARK,NSE,Consumer Cyclical,Auto Retail,listed,2023-01-01,,,,,,,,,,,60.0,Average IPO,Medium,expansion_db,IN
Om Power Transmission,,BSE,,,listed,2026-04-17,,175.0,175.0,,182.55,,,599.0,,,59.9,Weak IPO,Low,ipo_data.json,
Marc Loire,,BSE,,,listed,2025-07-07,,100.0,100.0,,39.38,,,71.0,,,59.9,Weak IPO,Low,ipo_data.json,
Mukka Proteins,,BSE,,,listed,2024-03-07,,28.0,28.0,,22.41,,,840.0,,,59.9,Weak IPO,Low,ipo_data.json,
Suraj Estate,,BSE,,,listed,2023-12-26,,334.0,334.0,,186.69,,,1597.0,,,59.9,Weak IPO,Low,ipo_data.json,
Shopify Inc.,SHOP,NYSE,Technology,Software,listed,,,,,,,,,,,,59.9,Weak IPO,Low,ipo_data.json,
PVR INOX Ltd,PVRINOX,NSE,Communication,Entertainment,listed,2006-01-01,,,,,,,,,,,59.9,Weak IPO,Low,expansion_db,IN
Balaji Amines Ltd,BALAMINES,NSE,Basic Materials,Chemicals,listed,2007-01-01,,,,,,,,,,,59.9,Weak IPO,Low,expansion_db,IN
BLS International Services,BLS,NSE,Industrials,Business Services,listed,2015-01-01,,,,,,,,,,,59.9,Weak IPO,Low,expansion_db,IN
J.G. Chemicals Ltd,JGCHEM,NSE,Basic Materials,Chemicals,listed,2024-01-01,,,,,,,,,,,59.9,Weak IPO,Low,expansion_db,IN
Galaxy Surfactants Ltd,GALAXYSURF,NSE,Basic Materials,Chemicals,listed,2018-01-01,,,,,,,,,,,59.9,Weak IPO,Low,expansion_db,IN
Sattva Eng.,,BSE,,,listed,2025-09-03,,75.0,75.0,,62.6,,,131.0,,,59.8,Weak IPO,Low,ipo_data.json,
Takyon Networks,,BSE,,,listed,2025-08-06,,54.0,54.0,,21.37,,,77.0,,,59.8,Weak IPO,Low,ipo_data.json,
Shivalic Power,,BSE,,,listed,2024-07-01,,100.0,100.0,,70.2,,,241.0,,,59.8,Weak IPO,Low,ipo_data.json,
Slone Infosys.,,BSE,,,listed,2024-05-10,,79.0,79.0,,146.0,,,42.0,,,59.8,Weak IPO,Low,ipo_data.json,
Grill Splendour,,BSE,,,listed,2024-04-23,,99.0,99.0,,123.65,,,62.0,,,59.8,Weak IPO,Low,ipo_data.json,
Deem Roll-Tech,,BSE,,,listed,2024-02-27,,129.0,129.0,,52.6,,,108.0,,,59.8,Weak IPO,Low,ipo_data.json,
Shree Marutinand,,BSE,,,listed,2024-01-19,,143.0,143.0,,68.4,,,49.0,,,59.8,Weak IPO,Low,ipo_data.json,
Didiglobal Inc.,DIDI,NYSE,Technology,Software,listed,2021-01-01,,,,,,,,,,,59.8,Weak IPO,Low,expansion_db,CN
Adisoft Technol.,,BSE,,,listed,2026-04-30,,172.0,172.0,,210.0,,,281.0,,,59.7,Weak IPO,Low,ipo_data.json,
Onyx Biotec,,BSE,,,listed,2024-11-22,,61.0,61.0,,42.0,,,111.0,,,59.7,Weak IPO,Low,ipo_data.json,
Shiprocket,SHIPROCKET,NSE,,,upcoming,–,,,,,,,,,,,59.7,Weak IPO,Low,ipos.json,India
Ircon International Ltd,IRCON,NSE,Industrials,Infrastructure,listed,2018-01-01,,,,,,,,,,,59.7,Weak IPO,Low,expansion_db,IN
Sterling Tools Ltd,STERTOOLS,NSE,Consumer Cyclical,Auto Parts,listed,2006-01-01,,,,,,,,,,,59.7,Weak IPO,Low,expansion_db,IN
Helloji Holidays,,BSE,,,listed,2025-12-09,,118.0,118.0,,130.0,,,40.0,,,59.6,Weak IPO,Low,ipo_data.json,
Sri Lotus,,BSE,,,listed,2025-08-06,,150.0,150.0,,137.16,,,7331.0,,,59.6,Weak IPO,Low,ipo_data.json,
Greenhitech Ven.,,BSE,,,listed,2024-04-22,,18.0,18.0,,47.01,,,24.0,,,59.6,Weak IPO,Low,ipo_data.json,
Westlife Development Ltd,WESTLIFE,NSE,Consumer Cyclical,Restaurants,listed,2017-01-01,,,,,,,,,,,59.6,Weak IPO,Low,expansion_db,IN
Automotive Axles Ltd,AUTOAXLES,NSE,Consumer Cyclical,Auto Parts,listed,2005-01-01,,,,,,,,,,,59.6,Weak IPO,Low,expansion_db,IN
Samsara Inc.,IOT,NYSE,Technology,Software,listed,2021-01-01,,,,,,,,,,,59.6,Weak IPO,Low,expansion_db,US
Equitas Small Finance Bank,EQUITASBNK,NSE,Financial,Banks,listed,2016-01-01,,,,,,,,,,,59.6,Weak IPO,Low,expansion_db,IN
EPW India,,BSE,,,listed,2025-12-30,,97.0,97.0,,144.0,,,111.0,,,59.5,Weak IPO,Low,ipo_data.json,
Chatterbox Tech,,BSE,,,listed,2025-10-03,,115.0,115.0,,57.0,,,163.0,,,59.5,Weak IPO,Low,ipo_data.json,
Adani Ports & SEZ Ltd,ADANIPORTS,NSE,Industrials,Infrastructure,listed,2007-01-01,,,,,,,,,,,59.5,Weak IPO,Low,expansion_db,IN
Dixon Technologies India,DIXON,NSE,Technology,Consumer Electronics,listed,2017-01-01,,,,,,,,,,,59.5,Weak IPO,Low,expansion_db,IN
Arm Holdings PLC,ARM,NASDAQ,Technology,Semiconductors,listed,2023-01-01,,,,,,,,,,,59.5,Weak IPO,Low,expansion_db,GB
Chitradurga Spintex Ltd,CHITRASPIN,NSE,Consumer Cyclical,Textiles,listed,2024-01-01,,,,,,,,,,,59.5,Weak IPO,Low,expansion_db,IN
EMA Partners,,BSE,,,listed,2025-01-24,,124.0,124.0,,88.1,,,288.0,,,59.4,Weak IPO,Low,ipo_data.json,
Parmeshwar Metal,,BSE,,,listed,2025-01-09,,61.0,61.0,,200.5,,,93.0,,,59.4,Weak IPO,Low,ipo_data.json,
Boss Packaging,,BSE,,,listed,2024-09-06,,66.0,66.0,,37.55,,,29.0,,,59.4,Weak IPO,Low,ipo_data.json,
Kizi Apparels,,BSE,,,listed,2024-08-06,,21.0,21.0,,14.1,,,16.0,,,59.4,Weak IPO,Low,ipo_data.json,
Manoj Vaibhav,,BSE,,,listed,2023-10-03,,215.0,215.0,,151.99,,,1050.0,,,59.4,Weak IPO,Low,ipo_data.json,
JPMorgan Chase & Co.,JPM,NYSE,Financial,Banks,listed,,,,,,,,,,,,59.4,Weak IPO,Low,ipo_data.json,
Novartis AG,NVS,NYSE,Healthcare,Drug Manufacturers,listed,,,,,,,,,,,,59.4,Weak IPO,Low,ipo_data.json,
Adani Green Energy Ltd,ADANIGREEN,NSE,Utilities,Renewable Energy,listed,2018-01-01,,,,,,,,,,,59.4,Weak IPO,Low,expansion_db,IN
Chewy Inc.,CHWY,NYSE,Consumer Cyclical,E-Commerce,listed,2019-01-01,,,,,,,,,,,59.4,Weak IPO,Low,expansion_db,US
Comed Chemicals Ltd,COMEDCHEM,NSE,Healthcare,Pharmaceuticals,listed,2024-01-01,,,,,,,,,,,59.4,Weak IPO,Low,expansion_db,IN
Leapfrog Engg.,,BSE,,,listed,2026-04-30,,,,,,,,326.0,,,59.3,Weak IPO,Low,ipo_data.json,
Biopol Chemicals,,BSE,,,listed,2026-02-13,,108.0,108.0,,108.45,,,117.0,,,59.3,Weak IPO,Low,ipo_data.json,
Quest Laborato.,,BSE,,,listed,2024-05-23,,97.0,97.0,,102.0,,,159.0,,,59.3,Weak IPO,Low,ipo_data.json,
SignatureGlobal,,BSE,,,listed,2023-09-27,,385.0,385.0,,812.55,,,5410.0,,,59.3,Weak IPO,Low,ipo_data.json,
Srivari Spices &amp;,,BSE,,,listed,2023-08-18,,39.0,39.0,,175.75,,,33.0,,,59.3,Weak IPO,Low,ipo_data.json,
BSE Ltd,BSE,NSE,Financial,Financial Services,listed,2017-01-01,,,,,,,,,,,59.3,Weak IPO,Low,expansion_db,IN
Rolex Rings Ltd,ROLEXRINGS,NSE,Consumer Cyclical,Auto Parts,listed,2021-01-01,,,,,,,,,,,59.3,Weak IPO,Low,expansion_db,IN
Klaviyo Inc.,KVYO,NYSE,Technology,Software,listed,2023-01-01,,,,,,,,,,,59.3,Weak IPO,Low,expansion_db,US
Mutual Benefit & Housing,MUTUALBN,NSE,Financial,Financial Services,listed,2024-01-01,,,,,,,,,,,59.3,Weak IPO,Low,expansion_db,IN
Virinchi Ltd,VIRINCHI,NSE,Technology,Software,listed,2007-01-01,,,,,,,,,,,59.3,Weak IPO,Low,expansion_db,IN
Tega Industries Ltd,TEGA,NSE,Industrials,Industrial Equipment,listed,2021-01-01,,,,,,,,,,,59.3,Weak IPO,Low,expansion_db,IN
Suba Hotels,,BSE,,,listed,2025-10-07,,111.0,111.0,,119.9,,,269.0,,,59.2,Weak IPO,Low,ipo_data.json,
Aspire &amp; Innovat,,BSE,,,listed,2024-04-03,,54.0,54.0,,14.6,,,82.0,,,59.2,Weak IPO,Low,ipo_data.json,
Oracle Corporation,ORCL,NYSE,Technology,Software,listed,,,,,,,,,,,,59.2,Weak IPO,Low,ipo_data.json,
Canadian National Railway,CNI,NYSE,Industrials,Railroads,listed,,,,,,,,,,,,59.2,Weak IPO,Low,ipo_data.json,
Meituan,MPNGY,OTC,Technology,Internet Services,listed,,,,,,,,,,,,59.2,Weak IPO,Low,ipo_data.json,
Snowflake Inc.,SNOW,NYSE,Technology,Software,listed,2020-01-01,,,,,,,,,,,59.2,Weak IPO,Low,expansion_db,US
Clear Secured,,BSE,,,listed,2025-12-08,,132.0,132.0,,107.5,,,317.0,,,59.1,Weak IPO,Low,ipo_data.json,
Canara HSBC,,BSE,,,listed,2025-10-17,,106.0,106.0,,137.51,,,10070.0,,,59.1,Weak IPO,Low,ipo_data.json,
